file,line,token
libs/stream-chat-shim/src/components/MessageList/ScrollToBottomButton.tsx,57,client.off
libs/stream-chat-shim/src/components/MessageList/ConnectionStatus.tsx,21,client.on
libs/stream-chat-shim/src/components/MessageList/ConnectionStatus.tsx,23,client.off
libs/stream-chat-shim/src/components/MessageList/VirtualizedMessageList.tsx,251,lastRead
libs/stream-chat-shim/src/components/MessageList/hooks/useMarkRead.ts,97,channel.on
libs/stream-chat-shim/src/components/MessageList/hooks/useMarkRead.ts,105,channel.off
libs/stream-chat-shim/src/components/MessageList/hooks/MessageList/useEnrichedMessages.ts,46,lastRead
libs/stream-chat-shim/src/components/MessageList/hooks/VirtualizedMessageList/useGiphyPreview.ts,22,client.on
libs/stream-chat-shim/src/components/MessageList/hooks/VirtualizedMessageList/useGiphyPreview.ts,24,client.off
libs/stream-chat-shim/src/components/MessageActions/MessageActionsBox.tsx,172,reminders.deleteReminder
libs/stream-chat-shim/src/components/MessageActions/MessageActionsBox.tsx,174,reminders.createReminder
libs/stream-chat-shim/src/components/MessageActions/RemindMeSubmenu.tsx,29,reminders.scheduledOffsetsMs
libs/stream-chat-shim/src/components/MessageActions/RemindMeSubmenu.tsx,41,reminders.upsertReminder
libs/stream-chat-shim/src/components/Chat/hooks/useCreateChatClient.ts,40,connectUser
libs/stream-chat-shim/src/components/Chat/hooks/useCreateChatClient.ts,48,disconnectUser
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,57,getAppSettings
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,68,getUserAgent
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,72,setUserAgent
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,75,threads.registerSubscriptions
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,76,polls.registerSubscriptions
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,77,reminders.registerSubscriptions
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,78,reminders.initTimers
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,81,threads.unregisterSubscriptions
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,82,polls.unregisterSubscriptions
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,83,reminders.unregisterSubscriptions
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,84,reminders.clearTimers
libs/stream-chat-shim/src/components/Chat/hooks/useChat.ts,134,query
libs/stream-chat-shim/src/components/ChannelPreview/utils.tsx,52,channel.getClient
libs/stream-chat-shim/src/components/ChannelPreview/utils.tsx,71,channel.getClient
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,107,client.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,109,client.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,117,channel.countUnread
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,119,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,121,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,131,channel.countUnread
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,147,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,148,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,149,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,150,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,151,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,154,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,155,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,156,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,157,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreview.tsx,158,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreviewActionButtons.tsx,31,channel.unpin
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreviewActionButtons.tsx,33,channel.pin
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreviewActionButtons.tsx,50,channel.unarchive
libs/stream-chat-shim/src/components/ChannelPreview/ChannelPreviewActionButtons.tsx,52,channel.archive
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useChannelPreviewInfo.ts,43,client.on
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useChannelPreviewInfo.ts,45,client.off
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useMessageDeliveryStatus.ts,65,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useMessageDeliveryStatus.ts,68,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useMessageDeliveryStatus.ts,78,channel.on
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useMessageDeliveryStatus.ts,81,channel.off
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useIsChannelMuted.ts,11,channel.muteStatus
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useIsChannelMuted.ts,16,channel.muteStatus
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useIsChannelMuted.ts,18,client.on
libs/stream-chat-shim/src/components/ChannelPreview/hooks/useIsChannelMuted.ts,20,client.off
libs/stream-chat-shim/src/components/Poll/PollOptionSelector.tsx,93,removeVote
libs/stream-chat-shim/src/components/Poll/PollOptionSelector.tsx,94,castVote
libs/stream-chat-shim/src/components/Poll/hooks/useManagePollVotesRealtime.ts,60,on(poll.vote_casted)
libs/stream-chat-shim/src/components/Poll/hooks/useManagePollVotesRealtime.ts,62,on(poll.vote_removed)
libs/stream-chat-shim/src/components/Poll/hooks/useManagePollVotesRealtime.ts,64,on(poll.vote_changed)
libs/stream-chat-shim/src/components/Poll/hooks/usePollAnswerPagination.ts,33,queryAnswers
libs/stream-chat-shim/src/components/Poll/hooks/usePollOptionVotesPagination.ts,33,queryOptionVotes
libs/stream-chat-shim/src/components/Poll/PollActions/SuggestPollOptionForm.tsx,53,createPollOption
libs/stream-chat-shim/src/components/Poll/PollActions/SuggestPollOptionForm.tsx,54,castVote
libs/stream-chat-shim/src/components/Poll/PollActions/AddCommentForm.tsx,40,addAnswer
libs/stream-chat-shim/src/components/Poll/PollActions/EndPollDialog.tsx,26,close
libs/stream-chat-shim/src/components/AIStateIndicator/hooks/useAIState.ts,25,on
libs/stream-chat-shim/src/components/AIStateIndicator/hooks/useAIState.ts,29,on
libs/stream-chat-shim/src/components/ChannelSearch/hooks/useChannelSearch.ts,183,client.channel
libs/stream-chat-shim/src/components/ChannelSearch/hooks/useChannelSearch.ts,184,channel.watch
libs/stream-chat-shim/src/components/ChannelSearch/hooks/useChannelSearch.ts,213,client.queryChannels
libs/stream-chat-shim/src/components/ChannelSearch/hooks/useChannelSearch.ts,220,client.queryUsers
libs/stream-chat-shim/src/components/Threads/ThreadList/ThreadList.tsx,28,client.threads.activate
libs/stream-chat-shim/src/components/Threads/ThreadList/ThreadList.tsx,31,client.threads.deactivate
libs/stream-chat-shim/src/components/Threads/ThreadList/ThreadList.tsx,39,client.threads.deactivate
libs/stream-chat-shim/src/components/Threads/ThreadList/ThreadList.tsx,63,client.threads.loadNextPage
libs/stream-chat-shim/src/components/Threads/ThreadList/ThreadListUnseenThreadsBanner.tsx,26,client.threads.reload
libs/stream-chat-shim/src/components/ChannelList/ChannelList.tsx,250,client.queryChannels
libs/stream-chat-shim/src/components/ChannelList/ChannelList.tsx,340,client.on
libs/stream-chat-shim/src/components/ChannelList/ChannelList.tsx,341,client.on
libs/stream-chat-shim/src/components/ChannelList/ChannelList.tsx,344,client.off
libs/stream-chat-shim/src/components/ChannelList/ChannelList.tsx,345,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelDeletedListener.ts,33,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelDeletedListener.ts,36,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useNotificationRemovedFromChannelListener.ts,27,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useNotificationRemovedFromChannelListener.ts,30,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useNotificationMessageNewListener.ts,34,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useNotificationMessageNewListener.ts,37,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useNotificationAddedToChannelListener.ts,41,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useNotificationAddedToChannelListener.ts,44,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelListShape.ts,113,client.channel
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelListShape.ts,283,client.channel
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelListShape.ts,647,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/usePaginatedChannels.ts,92,client.queryChannels
libs/stream-chat-shim/src/components/ChannelList/hooks/usePaginatedChannels.ts,140,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useMessageNewListener.ts,35,client.channel
libs/stream-chat-shim/src/components/ChannelList/hooks/useMessageNewListener.ts,46,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useMessageNewListener.ts,49,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelUpdatedListener.ts,47,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelUpdatedListener.ts,50,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useSelectedChannelState.ts,32,channel.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useUserPresenceChangedListener.ts,30,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useUserPresenceChangedListener.ts,33,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useConnectionRecoveredListener.ts,15,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useConnectionRecoveredListener.ts,18,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelVisibleListener.ts,33,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelVisibleListener.ts,36,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelHiddenListener.ts,32,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelHiddenListener.ts,35,client.off
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelTruncatedListener.ts,29,client.on
libs/stream-chat-shim/src/components/ChannelList/hooks/useChannelTruncatedListener.ts,32,client.off
libs/stream-chat-shim/src/components/Notifications/hooks/useNotifications.ts,5,notifications.store
libs/stream-chat-shim/src/experimental/MessageActions/defaults.tsx,136,client.reminders.deleteReminder
libs/stream-chat-shim/src/experimental/MessageActions/defaults.tsx,138,client.reminders.createReminder
libs/stream-chat-shim/src/experimental/Search/SearchResults/SearchResultItem.tsx,53,client.channel
libs/stream-chat-shim/src/experimental/Search/SearchResults/SearchResultItem.tsx,59,channel.state.loadMessageIntoState
libs/stream-chat-shim/src/experimental/Search/SearchResults/SearchResultItem.tsx,97,client.channel
libs/stream-chat-shim/src/experimental/Search/SearchResults/SearchResultItem.tsx,98,channel.watch
libs/stream-chat-shim/src/stories/utils.tsx,34,connectUser
libs/stream-chat-shim/src/stories/utils.tsx,42,disconnectUser
libs/stream-chat-shim/src/stories/navigate-long-message-lists.stories.tsx,38,sendMessage
libs/stream-chat-shim/src/stories/navigate-long-message-lists.stories.tsx,48,deleteMessage
libs/stream-chat-shim/src/stories/navigate-long-message-lists.stories.tsx,57,sendMessage
libs/stream-chat-shim/src/stories/navigate-long-message-lists.stories.tsx,67,deleteMessage
libs/stream-chat-shim/src/stories/navigate-long-message-lists.stories.tsx,91,deleteMessage
libs/stream-chat-shim/src/stories/mark-read.stories.tsx,26,truncate
libs/stream-chat-shim/src/stories/mark-read.stories.tsx,32,sendMessage
libs/stream-chat-shim/src/stories/pin-message.stories.tsx,32,truncate
libs/stream-chat-shim/src/stories/pin-message.stories.tsx,38,sendMessage
libs/stream-chat-shim/src/stories/pin-message.stories.tsx,39,sendMessage
libs/stream-chat-shim/src/stories/pin-message.stories.tsx,40,sendMessage
libs/stream-chat-shim/src/stories/jump-to-message.stories.tsx,28,search
libs/stream-chat-shim/src/stories/edit-message.stories.tsx,21,truncate
libs/stream-chat-shim/src/stories/edit-message.stories.tsx,27,sendMessage
libs/stream-chat-shim/src/stories/add-message.stories.tsx,26,truncate
libs/stream-chat-shim/src/stories/add-message.stories.tsx,32,sendMessage
libs/stream-chat-shim/src/stories/attachment-sizing.stories.tsx,38,sendMessage
libs/stream-chat-shim/src/stories/attachment-sizing.stories.tsx,48,deleteMessage
libs/stream-chat-shim/src/stories/attachment-sizing.stories.tsx,57,sendMessage
libs/stream-chat-shim/src/stories/attachment-sizing.stories.tsx,67,deleteMessage
libs/stream-chat-shim/src/stories/attachment-sizing.stories.tsx,91,deleteMessage
